calibration_id,measured_quantity,physical_reference_plane,target_reference_plane,measurement_method,required_equipment,wiring_setup,programmed_values,repetitions,raw_data_product,correction_terms,type_a_uncertainty,type_b_uncertainty,combined_standard_uncertainty,expanded_uncertainty,traceability_source,dependencies,closure_test,article_destination,current_status,bypass_allowed,effect_of_bypass
T101,T660-1 trigger to FIRE,T660-1 trigger pin arrival,NdYAG pin-7 cable-end arrival,two-channel edge capture,T660s Pico approved breakout,destination/reference to Pico,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01 breakout delay,shot jitter,timebase threshold load,pending,pending,T660/Pico/NdYAG sources,T203 MS01,EXTREF-to-FIRE closure,electrical table,NOT STARTED,yes,FIRE chain blocked
T102,T660-1 trigger to Q-switch,T660-1 trigger pin arrival,NdYAG pin-6 cable-end arrival,two-channel edge capture,T660s Pico approved breakout,destination/reference to Pico,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01 breakout delay,shot jitter,timebase threshold load,pending,pending,T660/Pico/NdYAG sources,T203 MS01,EXTREF-to-Q closure,electrical table,NOT STARTED,yes,Q-switch chain blocked
T103,FIRE to Q-switch,NdYAG pin-7 arrival,NdYAG pin-6 arrival,two-channel edge capture,T660s Pico approved breakout,both disconnected device lines to Pico,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01 breakout skew,shot jitter,timebase threshold loads,pending,pending,T660/Pico/NdYAG sources,T101 T102,direct-versus-derived Q closure,electrical table,NOT STARTED,yes,Q closure unavailable
T104,EXT REF to FIRE,HF2LI EXT REF cable-end arrival,NdYAG pin-7 arrival,two-channel edge capture,T660s Pico,destination ends to Pico,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01,shot jitter,timebase threshold loads,pending,pending,T660/Pico sources,T203 T101,derived T203+T101,electrical table,NOT STARTED,yes,FIRE closure unavailable
T105,EXT REF to Q-switch,HF2LI EXT REF cable-end arrival,NdYAG pin-6 arrival,two-channel edge capture,T660s Pico,destination ends to Pico,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01,shot jitter,timebase threshold loads,pending,pending,T660/Pico sources,T203 T102,direct versus T104+T103 and T203+T102,closure table,NOT STARTED,no,complete chain cannot pass
PT01,reference to Process Trigger,FIRE or approved common reference,MIRcat DB9 pin-4 arrival,two-channel falling-edge capture and polarity,T660s Pico approved breakout,pin 4 only; reserved pin 5 disconnected; pins 6 and 8 unused and unwired,six-point sweep where valid,100 accepted per point,raw Pico traces,MS01 breakout skew,shot jitter,timebase threshold load,pending,pending,T660/MIRcat/Pico sources,S0 MS01,derived cross-generator timing,electrical table,NOT STARTED,yes,process timing unavailable
MC01,external process-trigger sequence,DB9 pin-4 active-low command,MIRcat channel state,GUI-controlled bounded test,MIRcat GUI T660-1 readback,normal pin-4 only,10ms pulse and reviewed delays,repeated full sequence,GUI records readbacks DIO,host/UI timing,sequence repeatability,GUI/state ambiguity,pending,pending,MIRcat manual and observed states,S0 PT01,channel-count agreement,method table,NOT STARTED,yes,automation and correlated sweeps blocked
MD01,DB9 1-3 captured-word bit mapping,MIRcat DB9 outputs,HF2LI complete DIO word,repeated opposite-direction scans,MIRcat HF2LI,normal DB9 1-3 outputs only,forward and reverse scans,at least 3 each,DIO raw stream and MIRcat log,timestamp alignment,scan repeatability,logic thresholds/state semantics,pending,pending,MIRcat/HF2LI manuals,MC01 HF01,direction and pulse signatures,wiring table,NOT STARTED,no,trigger-derived axis blocked
MSW01,wavelength-trigger timing and counts,MIRcat sweep start,DIO edges and segment states,continuous capture,MIRcat HF2LI T660,normal wiring,5cm-1;500us;40cm-1/s,at least 3 each direction,raw HF2LI DIO and MIRcat records,timestamp alignment,count timing repeatability,clock and edge semantics,pending,pending,MIRcat/HF2LI sources,MD01 HF01,expected ~125ms and channel counts,sweep figure/table,NOT STARTED,no,wavelength axis blocked
HF01,external lock and demodulator configuration,T660 reference input,HF2LI readbacks and data,readback and response tests,HF2LI T660,normal wiring,recipe settings,multiple intervals,raw HF2LI and readbacks,reference calibration,repeatability,clock/filter specifications,pending,pending,HF2LI manual/config,T201,frequency agreement,detector/acquisition table,NOT STARTED,yes,acquisition claims limited
HF02,timestamp alignment and dropped samples,common physical events,Sample Reference DIO streams,simultaneous endurance capture,HF2LI MIRcat T660,normal wiring,full scan duration,2 full scans,raw streams and loss log,stream latency,repeatability,clock API buffering,pending,pending,HF2LI manual,HF01 MD01,cross-stream event alignment,detector/acquisition table,NOT STARTED,no,end-to-end axis blocked
DET01,dark noise drift stability,detector electrical outputs,HF2LI Sample/Reference records,dark time series and Allan analysis,detectors HF2LI,normal detector wiring,dark multiple durations,short and long records,raw HF2LI time series,HF2LI noise floor,statistical uncertainty,range/filter/environment,pending,pending,detector/HF2LI records,HF01,repeat interval agreement,detector table,NOT STARTED,yes,uncertainty and SNR limited
DET02,cross-talk relative gain linearity saturation SNR,controlled detector inputs,HF2LI channels,attenuation series and channel controls,detectors attenuation HF2LI,normal optical path with Enter-key laser-area preflight if emitting,available attenuation levels,repeated each level,raw HF2LI and attenuation log,dark drift attenuation calibration,repeatability,attenuation and detector response,pending,pending,attenuator/detector provenance,DET01 HF01,line fit residual and swapped/control response,detector table,NOT STARTED,yes,normalization provisional
SP01,spectral-reference provenance,physical reference material,accepted feature list,document review,reference materials records,no hardware,NA,1,reference manifest,temperature/path corrections,NA,reference uncertainty,pending,pending,certificate or authoritative literature,P0,identity match,spectral table,NOT STARTED,yes,absolute accuracy not traceably evaluated
SP02,MIRcat readback and trigger-derived wavenumber accuracy,reference peak positions,readback/constructed axes,opposite-direction repeated spectra,MIRcat HF2LI detectors reference,normal spectral setup,validated sweep settings,at least 3 each direction/channel,raw MIRcat HF2LI DIO spectra,detector baseline axis interpolation,scan repeatability,reference temperature path trigger mapping,pending,pending,SP01 authority plus device manuals,SP01 MSW01 HF02 DET02,feature residuals and direction closure,spectral table/figure,NOT STARTED,yes,relative-only spectral claims
OP01,Q-switch electrical to optical sample arrival,actual NdYAG pin-6 plane,sample/sample-equivalent optical plane,two-channel electrical plus detector capture,T660s Pico splitter detector laser system,exact MS03 geometry with Enter-key laser-area preflight,one approved timing,1 blocked+1 preview+100 planned,raw Pico traces shot ledger photos,MS01 MS03 detector latency/cable,shot jitter,load detector placement timebase,pending,pending,detector calibration and setup record,S0 MS03 T105 DET02,EXTREF-to-optical closure,optical table,NOT STARTED,yes,optical/pump-probe timing unavailable
CL01,complete timing chain closure,compatible reference planes,compatible target planes,direct versus derived calculations,analysis only,no rewire,operational delays,all accepted datasets,closure CSV,documented correction model,propagated Type A,correlated Type B,pending,pending,component calibrations,T201-T105 PT01 OP01,all specified loops,closure table,NOT STARTED,no,full calibration impossible
E2E01,end-to-end repeatability and failure recovery,normal configured experiment,processed axes and safe stop,two bounded runs plus simulated software fault,all installed equipment,normal wiring only,approved scan/delay recipe,2 runs plus 1 no-fire fault test,all native raw products manifests logs,all promoted run-local corrections,run repeatability,component budgets,pending,pending,complete calibration chain,CL01 SP02 HF02 DET02,repeat-run and artifact checks,validation table,NOT STARTED,no,full calibration impossible
RPT01,article traceability and uncertainty package,raw artifacts,reported tables/claims,GUM budgets hashes and claim audit,analysis only,no rewire,NA,1 complete package,tables figures machine-readable outputs,all documented terms,dataset statistics,all Type B and unresolved,pending,pending,raw index and calibration chain,all completed steps,table-to-raw hash audit,all RSI destinations,NOT STARTED,no,defensible article package incomplete
