ledger_id,timestamp_utc,actor,action,expected_state,observed_state,evidence_artifact_id,decision,notes
MC01-LEDGER-0015,2026-08-17T19:51:14.3897481Z,Christopher Robertson,Opened initial Scan page without changing settings,Observe current mode without starting a process,Sweep Mode 2049.0 to 1650.0 cm-1 at 40.0 cm-1/s one scan,MC01-RAW-GUI-005,OUTSIDE_MC01_SCOPE_NOT_STARTED,Continuous sweep not authorized in MC-01
MC01-LEDGER-0016,2026-08-17T19:54:23.8171782Z,Christopher Robertson,Opened Scan Mode list without selecting,Identify retained discrete mode without exercising excluded modes,Sweep Mode; Step and Measure Mode; Multi-Spectral Mode,MC01-RAW-GUI-006,SELECT_STEP_AND_MEASURE,Multi-Spectral Mode excluded
MC01-LEDGER-0017,2026-08-17T19:55:28.9115361Z,Christopher Robertson,Selected Step and Measure Mode without starting,Discrete point/process mode loads for configuration,Mode loaded with inherited 2049.0 to 1650.0 cm-1 values and Keep Laser On Between Steps checked,MC01-RAW-GUI-007,SUPERSEDED_UNSAFE_FOR_MC01,Clear keep-on option before proceeding
MC01-LEDGER-0018,2026-08-17T19:57:45.8107402Z,Christopher Robertson,Directed batched operator interaction,Routine GUI changes delivered in ordered batches,Future configuration instructions batched with screenshot checklist,MC01-OPCONF-008,ADOPT_BATCHED_GATES,Safety-critical acceptance boundaries retained
MC01-LEDGER-0019,2026-08-17T19:59:39.0928411Z,Christopher Robertson,Clarified MIRcat GUI persistence behavior,Saved settings required before configuration export,Export omits unsaved Laser Settings changes,MC01-OPCONF-009,REQUIRE_SAVE_BEFORE_EXPORT,Save does not authorize arm emission or scan start
MC01-LEDGER-0020,2026-08-17T20:04:16.8067039Z,Christopher Robertson,Saved and exported MC-01 candidate GUI configuration,External Step and External Trigger with two retained HRP qualification points,Candidate settings shown and export successful,MC01-RAW-GUI-008;MC01-RAW-GUI-009;MC01-RAW-GUI-010;MC01-RAW-CONFIG-002,CANDIDATE_CONFIG_RECORDED_PENDING_TRANSITION_GATE,No arm emission scan start or manual step shown
MC01-LEDGER-0021,2026-08-17T20:05:21.196710Z,Codex,Applied and verified T660-only safe idle after GUI configuration,All T660 trigger sources and channels disabled with zero mismatches,Safe-idle recipe matched; no mismatches,MC01-READBACK-003,PASS_SAFE_IDLE_FOR_INHIBITED_CONTROL,Finished 2026-08-17T20:05:27.180349Z; no MIRcat SDK connection or output enable
MC01-LEDGER-0022,2026-08-17T20:10:06.2023644Z,Christopher Robertson,Attempted inhibited Start Scan with interlock off,GUI rejects start before scan or process begins,Please ARM the laser prior to trying this operation,MC01-CTRL-GUI-001,PASS_INHIBITED_CONTROL,No pulse tune scan or emission
MC01-LEDGER-0023,2026-08-17T20:11:03.0405401Z,Christopher Robertson,Tested ARM availability while interlock remained off,GUI rejects arming while physical inhibit remains active,Please make sure Interlock is in place and keyswitch is on and retry this operation,MC01-CTRL-GUI-002,BLOCK_ACTIVE_REPEATS,Do not remove inhibit or arm under non-emitting authorization
MC01-LEDGER-0024,2026-08-17T20:14:27.9598542Z,Christopher Robertson,Imported initial MIRcat configuration,GUI imports configuration then exits and powers laser down,Import-success message displayed,MC01-RESTORE-GUI-001,PARTIAL_RESTORATION,Powered on again only for non-emitting inspection
MC01-LEDGER-0025,2026-08-17T20:17:19.8285382Z,Christopher Robertson,Inspected post-import Laser Settings,Serialized fields restore while Process Trigger Mode does not,Trigger fields restored to 2049.18 cm-1 but External Step Mode remained selected,MC01-RESTORE-GUI-002,MANUAL_RUNTIME_RESTORE_REQUIRED,Process Trigger Mode inferred not serialized in mcfg
MC01-LEDGER-0026,2026-08-17T20:32:17.9445320Z,Christopher Robertson,Authorized emitting and SDK continuation of MC-01,Minimum controlled emission and SDK controls needed for mandatory MC-01 results are permitted,Authorization recorded as standing MC-01 authority,MC01-AUTH-002,RESUME_SAME_PHASE,No later phase sample CO biological work or excluded conductor use authorized
MC01-LEDGER-0027,2026-08-17T20:34:25.431289Z,Codex,Applied and verified pre-transition T660 safe idle for resumed MC-01,All T660 trigger sources and outputs disabled with zero mismatches,Safe-idle recipe matched with zero mismatches,MC01-READBACK-006,PASS_CONTINUATION_SAFE_IDLE,No SDK connection output enable or emission occurred during this operation
MC01-LEDGER-0028,2026-08-17T21:44:30.8359327Z,Christopher Robertson,Set installed MIRcat interlock control ON,Interlock permits GUI arming while manual shutter remains closed,Operator reports interlock is on,MC01-OPCONF-012,CONTINUE_TO_GUI_CONFIGURATION,MIRcat remained powered down and wiring unchanged at this gate
MC01-LEDGER-0029,2026-08-17T21:59:00.1239986Z,Christopher Robertson,Completed resumed pre-arm GUI configuration batch,Exact retained settings visible with emission off and QCL inactive,Configuration accepted from two native screenshots,MC01-ACTIVE-GUI-001;MC01-ACTIVE-GUI-002,PASS_PREARM_CONFIGURATION,Manual shutter remained closed and T660 outputs remained disabled
MC01-LEDGER-0030,2026-08-17T21:59:51.8524143Z,Christopher Robertson,Armed MIRcat once through manufacturer GUI,GUI changes action to DISARM LASER while emission remains off,No fault; Current QCL and Mode remain N/A,MC01-ACTIVE-GUI-003,PASS_ARMING_STATE,Manual shutter closed and T660 outputs disabled
MC01-LEDGER-0031,2026-08-17T22:01:00.2259909Z,Christopher Robertson,Started retained Step and Measure process with T660 disabled,Process tunes to 1905 cm-1 and waits for external process signal,QCL1 active Light Valid GUI Emission indicator asserted and Stop Scan available,MC01-ACTIVE-GUI-004,PASS_WAITING_STATE,Manual shutter closed; External Trigger mode and no T660-2 pulse mean no optical pulse is claimed
MC01-LEDGER-0032,2026-08-17T22:01:56.327771Z,Codex,Issued one remote T660-1 CHC command,Staged readback matched negative 10 ms 50OHM with only CHC enabled then returned OFF,TRIG EXECute sent once but elapsed-shot counter remained zero,MC01-ACTIVE-REPEAT-001,OBSERVATION_REQUIRED_NO_RETRY,REM-mode counter is not accepted as pulse proof; GUI observation required before any further command
MC01-LEDGER-0033,2026-08-17T22:02:30Z,Christopher Robertson,Observed GUI after first remote command,Process should advance once if a valid pin-4 pulse occurred,GUI unchanged and still waiting at 1905 cm-1,MC01-ACTIVE-REPEAT-001,REJECTED_PARTIAL_ENGINE_STOPPED,Preserved; corrected attempt requires T660 timing engine START before one REM trigger
MC01-LEDGER-0034,2026-08-17T22:03:37.898044Z,Codex,Issued one corrected started-engine T660-1 CHC command,Exactly one active-low 10 ms command with counter 0 to 1 and post-command STOP OFF,Readbacks matched and GUI observation pending,MC01-ACTIVE-REPEAT-001-RETRY1,COMMAND_ACCEPTED,Only CHC enabled during bounded command
MC01-LEDGER-0035,2026-08-17T22:04:23.7777894Z,Christopher Robertson,Observed MIRcat after corrected process command,One process command should produce one point transition,GUI advanced exactly once from 1905 to 1934 cm-1 and waits for Stop Scan,MC01-ACTIVE-GUI-005,PASS_ONE_COMMAND_ONE_TRANSITION,Terminal process requires explicit Stop Scan
MC01-LEDGER-0036,2026-08-17T22:06:25.6865282Z,Christopher Robertson,Clicked Stop Scan once after repeat 1 terminal point,Emission should stop and process should return idle without fault,Emission off QCL inactive values N/A laser remains armed and no fault,MC01-ACTIVE-GUI-006,PASS_TERMINAL_STOP,Repeat 1 GUI behavior complete; DIO timing reserved for repeats 2 and 3
MC01-LEDGER-0037,2026-08-17T22:08:00Z,Codex,Attempted to initialize HF2LI DIO capture for repeat 2,HF2LI acquisition must be active before one T660 process command,Python zhinst.ziPython namespace lacked ziDAQServer; no T660 connection or trigger occurred,MC01-ACTIVE-REPEAT-002-DIO-INIT,REJECTED_PARTIAL_SDK_RUNTIME,Repeat 2 remained waiting at 1905 cm-1 until operator stopped it
MC01-LEDGER-0038,2026-08-17T22:09:00Z,Christopher Robertson,Stopped repeat 2 after HF2LI initialization failure,Emission should return off without a process command,Operator confirms emission is off,MC01-OPCONF-013,PASS_SAFE_STOP_AFTER_PARTIAL, Laser remains armed and shutter closed
MC01-LEDGER-0039,2026-08-17T22:17:23Z,Codex,Issued repeat 2 process command inside HF2LI acquisition,One started-engine 10 ms CHC command with T660 count 0 to 1,Process command completed but DIO CSV normalization failed on multidimensional grid,MC01-ACTIVE-REPEAT-002,PARTIAL_DIO_EXPORT_FAILURE,No retry; GUI observation controls transition acceptance
MC01-LEDGER-0040,2026-08-17T22:18:58.9024414Z,Christopher Robertson,Observed repeat 2 terminal point after one process command,Exactly one transition to 1934 cm-1 expected,GUI shows 1934 cm-1 with Emission indicator asserted and waiting for Stop Scan,MC01-ACTIVE-GUI-007,PASS_REPEAT_2_TRANSITION,Indicator is process state not proof of optical pulse; Stop Scan required
MC01-LEDGER-0041,2026-08-17T22:23:17.5813242Z,Christopher Robertson,Stopped repeat 2 at terminal point,Emission should stop and GUI return idle while remaining armed,Operator reports Stop Scan pressed and awaits repeat 3,MC01-OPCONF-014,PASS_REPEAT_2_STOP,Shutter remains closed and settings unchanged
MC01-LEDGER-0042,2026-08-17T22:23:17.5813242Z,Codex,Validated corrected HF2LI DIO grid normalization,Synthetic two-dimensional value and timestamp grids flatten to six aligned rows,DIO_GRID_NORMALIZATION_PASS 6,,PASS_EXPORTER_PREFLIGHT,No hardware action
MC01-LEDGER-0043,2026-08-17T22:25:00Z,Codex,Issued repeat 3 process command inside HF2LI acquisition,One started-engine 10 ms CHC command with T660 count 0 to 1,Process command completed but DIO export encountered LabOne metadata value dev18500,MC01-ACTIVE-REPEAT-003,PARTIAL_DIO_EXPORT_FAILURE,No retry; GUI observation controls transition acceptance
MC01-LEDGER-0044,2026-08-17T22:26:00Z,Christopher Robertson,Observed repeat 3 after one process command,Exactly one transition to 1934 cm-1 expected,Step signal received and GUI moved to 1934 cm-1,MC01-ACTIVE-REPEAT-003,PASS_REPEAT_3_TRANSITION,Terminal Stop Scan still required
MC01-LEDGER-0045,2026-08-17T22:25:10Z,Christopher Robertson,Stopped repeat 3 terminal process,Emission should return off while laser remains armed,Operator confirms scan stopped and laser remains armed,MC01-OPCONF-015,PASS_REPEAT_3_STOP,Three required GUI repeats complete
MC01-LEDGER-0046,2026-08-17T22:25:10Z,Codex,Validated repaired LabOne DAQ export on idle DIO payload,Actual module metadata excluded and subscribed DIO grid exported,500 samples across one DIO path,MC01-DIO-DIAGNOSTIC-000,PASS_ACTUAL_EXPORTER_TEST,No MIRcat or T660 action and no emission
MC01-LEDGER-0047,2026-08-17T22:28:31.902559Z,Codex,Issued one process command inside uninterpolated HF2LI raw DIO poll,One started-engine 10 ms CHC command with T660 count 0 to 1,14596 samples exported and CHC returned OFF,MC01-DIO-DIAGNOSTIC-002,PASS_RAW_DIO_CAPTURE,GUI correlation pending
MC01-LEDGER-0048,2026-08-17T22:30:00Z,Christopher Robertson,Correlated and stopped raw-DIO diagnostic process,One transition to 1934 cm-1 expected before safe stop,Operator confirmed step to 1934 and pressed Stop Scan,MC01-DIO-DIAGNOSTIC-002,PASS_DIO_GUI_CORRELATION,Emission off; laser remains armed
MC01-LEDGER-0049,2026-08-17T22:32:00Z,Christopher Robertson,Clarified optical and DAQ scope,DAQ should capture DIO timing only and optical pulses require external laser trigger,Shutter remained closed and T660-2 sent no laser-trigger pulse; DAQ subscribed only to sample.dio,MC01-OPCONF-016,NO_OPTICAL_PULSE_CLAIM,GUI Emission indicator was enabled process state; no detector X Y or R acquired
MC01-LEDGER-0050,2026-08-17T22:31:00.668075Z,Codex,Qualified and restored MIRcat SDK process controls,Disarmed emission-off no-scan state plus External set/read and Internal restore/read required,SDK API 2.4.1 PASS and session deinitialized,MC01-SDK-QUAL-001,PASS_SDK_CONTROL_QUALIFICATION,No arm emission tune or scan SDK command issued
MC01-LEDGER-0051,2026-08-17T22:31:33.218099Z,Codex,Applied resumed final T660 safe idle,All trigger sources and outputs disabled with zero mismatches,Safe-idle recipe matched,MC01-READBACK-007,PASS_FINAL_SAFE_IDLE,No MIRcat SDK connection output enable or emission during operation
MC01-LEDGER-0052,2026-08-17T22:34:00Z,Christopher Robertson,Imported preserved initial MIRcat configuration,Serialized initial settings should restore and GUI should exit with MIRcat power-down,Operator reports successful import and powered down,MC01-RESTORATION-002,PASS_SERIALIZED_RESTORATION,Process Trigger Mode was explicitly restored Internal by SDK before import
MC01-LEDGER-0053,2026-08-17T22:40:18.8720069Z,Christopher Robertson,Disabled interlock after powered-down restoration,Final state must inhibit and require no additional physical action,Operator reports interlock disabled,MC01-RESTORATION-002,PASS_FINAL_INTERLOCK_STATE,Manual shutter closed and default wiring restored
MC01-LEDGER-0054,2026-08-17T22:40:18.8720069Z,Codex,Closed MC-01 evidence record,Every mandatory deliverable complete and restoration verified,MC-01 PASS COMPLETE; SDK eligible with prerequisites,MC01-CLOSEOUT-001,PASS_COMPLETE,Stopped at TR-01 boundary; no promotion stage commit or push
