ledger_id,timestamp_utc,actor,action,expected_state,observed_state,evidence_artifact_id,decision,notes
HF01-LEDGER-0032,2026-08-26T21:24:14Z,Codex,Refined the shared response reference from corrected intermediate data,Minimize residual carrier rotation without changing filter settings,Reference refined to 2000013.927086657 Hz,HF01-ANALYSIS-REFERENCE-REFINEMENT-001,CONTINUE_FROZEN_ANCHORS,Reference correction is provenance not a hash gate
HF01-LEDGER-0033,2026-08-26T21:35:03.417121Z,Codex,Completed retained anchor and targeted response acquisitions,Obtain sparse fast intermediate slow and single targeted evidence under safe voltage and lock guards,Intermediate slow and targeted records pass available response metrics; fast first carrier replicate is inconsistent,HF01-ANALYSIS-MODEL-VALIDATION-001,MODEL_NOT_VALIDATED,Every run ended with AWG zero T660 safe idle and locked HF2 master clock
HF01-LEDGER-0034,2026-08-26T21:40:13.931672Z,Codex,Checked the slow time-constant write order with demodulator disabled,Determine whether rate write order caused the 100 ms request mismatch,Both write orders read back 71.1530999997 ms,HF01-HF2-TC-WRITE-DIAG-001,WRITE_ORDER_NOT_CAUSAL,No AWG or T660 output
HF01-LEDGER-0035,2026-08-26T21:41:21.389393Z,Codex,Mapped a bounded set of disabled-demodulator time-constant writes,Identify the installed node value nearest the frozen 100 ms target,71.1531 ms is closer than the next value 142.2717 ms,HF01-HF2-TC-MAP-DIAG-001,USE_INSTALLED_READBACK_AS_ANALYSIS_AUTHORITY,Original HF2 configuration restored and T660 safe idle matched
HF01-LEDGER-0036,2026-08-26T21:44:00Z,Codex,Applied the frozen full model-validation criterion,All mandatory magnitude phase complex cutoff settling and sign metrics must pass,Fast carrier repeatability fails and four phase-domain metrics are not identifiable from unsynchronized records,HF01-ANALYSIS-MODEL-VALIDATION-001,STOP_FOR_PROSPECTIVE_HF01_AMENDMENT,Do not evaluate the supported parameter grid select experiment settings perform channel equivalence or promote calibration
HF01-LEDGER-0037,2026-08-26T21:50:10.808475Z,Codex,Verified electronic safe idle at the prospective-amendment stop,T660 temporary outputs idle Pico AWG zero HF2 signal outputs off and external master clock locked,All readback guards pass with no ADC clipping or demodulator sample loss,HF01-AMENDMENT-STOP-SAFE-STATE-001,PASS_ELECTRONIC_SAFE_IDLE,Temporary physical wiring remains in place and restoration is not inferred
HF01-LEDGER-0038,2026-08-26T22:02:51.1736955Z,Christopher Robertson,Authorized the governing dual-demodulator HF01 amendment,Address complete phase and fast-anchor integrity requirements while keeping documentation aligned,Operator authorizes amendment as needed within HF01,HF01-AUTH-AMEND-005,AUTHORIZE_HF01_PLAN_V2,No laser optical later-phase grid or promotion authority
HF01-LEDGER-0039,2026-08-26T22:04:00Z,Codex,Froze the self-contained HF01 v2 governing plan before new response data,Use one HF2LI clock domain for test and wideband-reference complex ratios,HF01-PLAN-v2 HF01-VALIDATION-DESIGN-v2 and HF01-MODEL-RESIDUAL-v2 recorded,HF01-PLAN-v2,CONTINUE_THREE_V2_ANCHORS,Earlier records remain preserved as superseded evidence
HF01-LEDGER-0040,2026-08-26T22:11:01.918293Z,Codex,Captured the v2 fast paired-demodulator anchor,Collect same-clock complex response with voltage and lock guards,1391314 exact common complex timestamps no clip or loss locked master clock and final safe idle,HF01-ANCHOR-FAST-V2-001,SUPERSEDED_EXPLORATORY_RECORD,Reference stream has 923 endpoint-only samples beyond the exact overlap
HF01-LEDGER-0041,2026-08-26T22:14:00Z,Codex,Identified a constant paired-demodulator pipeline delay in the v2 fast record,Separate sub-sample implementation delay from the cascaded-filter phase shape,Raw phase residual is linear with frequency at approximately 0.568 microseconds while magnitude cutoff and native steps agree,HF01-ANALYSIS-PIPELINE-DELAY-DIAG-001,FREEZE_BOUNDED_DELAY_METHOD,The v2 record is not promoted to acceptance and remains preserved
HF01-LEDGER-0042,2026-08-26T22:18:00.8855206Z,Codex,Froze the self-contained HF01 v3 governing plan before acceptance data,Retain the same three anchors while bounding one zero-intercept paired-pipeline delay per anchor,HF01-PLAN-v3 HF01-VALIDATION-DESIGN-v3 and HF01-MODEL-RESIDUAL-v3 recorded,HF01-PLAN-v3,CONTINUE_THREE_V3_ANCHORS,No fourth point grid laser action later phase or promotion authorized
HF01-LEDGER-0043,2026-08-26T22:19:37.487915Z,Codex,Captured the v3 fast paired-demodulator anchor,Exact common timestamps and all frozen integrity/model metrics,Fast primary anchor passed,HF01-ANCHOR-FAST-V3-001,ACCEPT_PRIMARY_ANCHOR,No fourth point or physical grid
HF01-LEDGER-0044,2026-08-26T22:20:30.997101Z,Codex,Captured the v3 intermediate paired-demodulator anchor,All metrics plus positive/negative cutoff pair,Intermediate primary anchor passed,HF01-ANCHOR-INTERMEDIATE-V3-001,ACCEPT_PRIMARY_ANCHOR,No later phase
HF01-LEDGER-0045,2026-08-26T22:22:56.689836Z,Codex,Captured the v3 slow paired-demodulator anchor,Six transitions satisfy the frozen settling rule,One rising transition exceeded 120 percent of prediction,HF01-ANCHOR-SLOW-V3-001,REPEAT_IDENTICAL_SETTING_ONCE,Rejected record preserved
HF01-LEDGER-0046,2026-08-26T22:25:44.374134Z,Codex,Captured the identical-setting v3 slow-anchor repeat,All frozen v3 metrics pass,Slow repeat passed,HF01-ANCHOR-SLOW-V3-R1-001,ACCEPT_PRIMARY_ANCHOR,Original slow record retained as rejected
HF01-LEDGER-0047,2026-08-26T22:27:00Z,Codex,Applied the v3 three-anchor model criterion,Exactly three primary anchors pass,Fast intermediate and accepted slow repeat all pass,HF01-ANALYSIS-DUAL-DEMOD-MODEL-001,AUTHORIZE_COMPUTATIONAL_SELECTION,No challenger or fourth model point
HF01-LEDGER-0048,2026-08-26T22:32:55.989270Z,Codex,Read back the installed supported HF2LI parameter space,Complete discrete modes plus continuous time-constant interval,11 ranges 8 orders 21 dual-channel rates 8 input modes and 3 readout modes retained,HF01-HF2-SUPPORTED-SPACE-001,PASS_SUPPORTED_SPACE,Original settings restored
HF01-LEDGER-0049,2026-08-26T22:35:32.004175Z,Codex,Evaluated all supported configurations computationally,Select one configuration per experiment or document impossibility,133056 candidates evaluated; sweep and HRP selected; MbCO retained only as a boundary outside 1 us,HF01-ANALYSIS-SUPPORTED-CONFIGURATIONS-001,SELECT_WITH_MBCO_LIMITATION,No challenger invoked
HF01-LEDGER-0050,2026-08-26T22:37:44.284638Z,Codex,Confirmed selected sweep and HRP settings on Signal Input 1,Selected rate and electrical model confirmation pass,All confirmation guards pass,HF01-SELECTED-SWEEP-HRP-IN1-001,ACCEPT_SELECTED_RATE,Separate sweep and HRP IDs remain explicit aliases
HF01-LEDGER-0051,2026-08-26T22:38:23.653032Z,Codex,Confirmed the immediately lower sweep and HRP rate,Lower rate fails the 8 times bandwidth guard,Rate-to-cutoff ratio 6.509,HF01-LOWER-SWEEP-HRP-IN1-001,REJECT_LOWER_RATE,Electrical record retained
HF01-LEDGER-0052,2026-08-26T22:39:20.127989Z,Codex,Confirmed the selected MbCO boundary settings on Signal Input 1,Fastest valid rate passes electrical guards,Rate-to-cutoff ratio 8.102 and model confirmation pass,HF01-SELECTED-MBCO-IN1-001,ACCEPT_BOUNDARY_CONFIGURATION,Mandatory 1 us claim remains outside envelope
HF01-LEDGER-0053,2026-08-26T22:40:05.780446Z,Codex,Confirmed the immediately lower MbCO rate,Lower rate fails rate and model guards,Rate-to-cutoff ratio 4.051 and model confirmation fail,HF01-LOWER-MBCO-IN1-001,REJECT_LOWER_RATE,Electrical record retained
HF01-LEDGER-0054,2026-08-26T22:52:34.195205Z,Codex,Confirmed selected sweep and HRP settings on Signal Input 2,Channel equivalence within frozen limits,All gain phase cutoff settling noise clipping and loss checks pass,HF01-SELECTED-SWEEP-HRP-IN2-001,PASS_CHANNEL_EQUIVALENCE,Operator move is HF01-OPCONF-006
HF01-LEDGER-0055,2026-08-26T22:53:23.562390Z,Codex,Confirmed selected MbCO boundary settings on Signal Input 2,Channel equivalence within frozen limits,All equivalence checks pass,HF01-SELECTED-MBCO-IN2-001,PASS_CHANNEL_EQUIVALENCE,Mandatory 1 us limitation unchanged
HF01-LEDGER-0056,2026-08-26T22:56:00.297224Z,Codex,Captured the Signal Input 2 low range endpoint,Safe connected endpoint with no clipping or loss,Measured 0.0103725863 Vpp,HF01-RANGE-LOW-IN2-001,ACCEPT_RANGE_ENDPOINT,PicoScope channel A is connected-voltage authority
HF01-LEDGER-0057,2026-08-26T22:56:34.686770Z,Codex,Captured the Signal Input 2 high range endpoint,Endpoint ratio within 3 percent of 10 times,Measured 0.101188680 Vpp and ratio error 2.446 percent,HF01-RANGE-HIGH-IN2-001,PASS_RANGE_ENDPOINTS,No clipping or loss
HF01-LEDGER-0058,2026-08-26T22:57:00Z,Codex,Applied selected-setting rate channel and range criteria,All selected confirmations pass and lower rates reject,Analysis status PASS,HF01-ANALYSIS-SELECTED-CONFIRMATION-001,ACCEPT_SELECTED_CONFIRMATIONS,No ambiguity challenger invoked
HF01-LEDGER-0059,2026-08-26T22:58:44.225176Z,Codex,Loaded each selected configuration twice and restored the prechange HF2LI settings,Exact integer and bounded double reload equivalence,All integer nodes exact and every observed double difference zero,HF01-CONFIG-RELOAD-001,PASS_RELOAD_EQUIVALENCE,Original HF2LI settings restored exactly
HF01-LEDGER-0060,2026-08-26T22:59:42.3040771Z,Christopher Robertson,Confirmed the stimulus cable had been moved to HF2LI Signal Input 2,Signal Input 2 topology for retained confirmations,RG58-01 moved from Input 1 to Input 2 before the Input 2 acquisition block,HF01-OPCONF-006,ACCEPT_INPUT2_TOPOLOGY,Timestamp is record time; session ordering establishes the move preceded the Input 2 acquisitions
HF01-LEDGER-0061,2026-08-26T23:40:53.949720Z,Codex,Refreshed electronic safe idle before timing-cable restoration,T660 outputs disabled and Pico generator zero,All guards pass,HF01-PRE-RESTORATION-SAFE-STATE-001,PASS_PRE_RESTORATION_SAFE_IDLE,No laser action
HF01-LEDGER-0062,2026-08-26T23:34:58.7512426Z,Christopher Robertson,Disconnected RG58-01 from HF2LI Input 2,HF2LI free of temporary stimulus,RG58-01 remained attached to isolated tee,HF01-OPCONF-007,ACCEPT_RESTORATION_MOVE,Generator already zero
HF01-LEDGER-0063,2026-08-26T23:36:01.9094099Z,Christopher Robertson,Disconnected stimulus tee from PicoScope SIGNAL OUT,Generator physically isolated,Both RG58 cables remained attached to tee,HF01-OPCONF-008,ACCEPT_RESTORATION_MOVE,
HF01-LEDGER-0064,2026-08-26T23:39:55.9999470Z,Christopher Robertson,Disconnected RG58-02 from PicoScope channel A,Temporary stimulus assembly isolated from instruments,Both RG58 cables disconnected from instruments and retained on tee,HF01-OPCONF-009,ACCEPT_RESTORATION_MOVE,Operator corrected a cable-ID typo
HF01-LEDGER-0065,2026-08-26T23:43:00.0037601Z,Christopher Robertson,Disconnected T660-2 B cable from PicoScope B,Cable ready for default destination,Cable remained at T660-2 B,HF01-OPCONF-010,ACCEPT_RESTORATION_MOVE,Safe idle verified
HF01-LEDGER-0066,2026-08-26T23:43:21.6217601Z,Christopher Robertson,Connected T660-2 B to MIRcat TRIG IN,Default B route restored,Connection confirmed,HF01-OPCONF-011,RESTORE_DEFAULT_ROUTE,Output remained disabled
HF01-LEDGER-0067,2026-08-26T23:47:27.8326649Z,Christopher Robertson,Disconnected T660-2 D cable from PicoScope EXT,Cable ready for default destination,Cable remained at T660-2 D,HF01-OPCONF-012,ACCEPT_RESTORATION_MOVE,Safe idle verified
HF01-LEDGER-0068,2026-08-26T23:47:50.4799516Z,Christopher Robertson,Connected T660-2 D to T660-1 TRIG IN,Default D route restored,Connection confirmed,HF01-OPCONF-013,RESTORE_DEFAULT_ROUTE,Outputs remained disabled
HF01-LEDGER-0069,2026-08-26T23:48:22.5562080Z,Christopher Robertson,Confirmed default wiring configuration,All default routes restored and temporary assembly removed,Default wiring confirmed,HF01-OPCONF-014,ACCEPT_PHYSICAL_RESTORATION,Standing default exclusions imported without repetitive questioning
HF01-LEDGER-0070,2026-08-26T23:49:00.839654Z,Codex,Attempted final electronic restoration readback,Verify all devices after physical restoration,Windows denied COM3 access before readback,HF01-FINAL-RESTORATION-STATE-001,RETAIN_FAILED_ATTEMPT_AND_RETRY,No hardware state inferred
HF01-LEDGER-0071,2026-08-26T23:49:42.437171Z,Codex,Repeated final electronic restoration readback under a new stable ID,T660 safe idle Pico zero HF2 settings exact and flags clean,All final guards pass,HF01-FINAL-RESTORATION-STATE-R1-001,PASS_FINAL_RESTORATION,No later phase or promotion
